Version	대분류	중분류	소분류	Requirement	우선 순위	작업유형
ver1	웹 진입	랜딩 페이지 노출	UI 노출	사용자가 URL 접속 시, 최상단에 핵심 가치 텍스트("월세 납부, 신용에 도움 될까요?"), 서브 텍스트("숨겨진 납부 내역으로 실제 금융 생활을 편리하게")와 1차 CTA("고정 지출 정보 입력 시작")를 노출한다.	P0	FE
ver1	웹  진입	랜딩 페이지 노출	방문 이벤트 적재	사용자가 랜딩 페이지 로드에 성공하면, 시스템은 landing_view 이벤트를 적재한다(타임스탬프, 세션ID, 유입 파라미터).	P0	BE
ver1	웹  진입	CTA 기능	클릭 액션	사용자가 CTA 클릭 시, 고정 지출 정보 입력 화면으로 이동시키고 landing_to_start_click 이벤트를 적재한다.	P0	FE
						
ver1	정보 인증	입력 폼 구성	필수/선택 필드 표시	사용자가 입력 화면에 진입하면 필수(계약 시작일, 만료일, 월세 금액, 관리비 포함 여부), 조건부 필수(관리비 포함=true 시 관리비 금액) 필드를 구분해 노출한다.	P0	FE
ver1	정보 인증	입력 규칙	계약 기간 검증	계약 시작일·만료일 입력 시 YYYY-MM-DD 기준으로 시작일 < 만료일 조건을 검증하고 동일 날짜 또는 역전 시 "만료일은 시작일 이후여야 합니다" 오류를 표시한다. 계약 기간은 시작일과 만료일 기준 '개월 수'로 산정하며 최소 1개월 이상 최대 36개월 이하만 유효하다.	P0	FE
ver1	정보 인증	입력 규칙	월세 금액 검증	월세 금액은 숫자만 허용하며 소수점 입력은 허용하지 않고 1원 이상일 경우 유효하다. 입력값이 테스트데이터 룰 기준 범위(예: 5만~500만)를 벗어날 경우 경고 문구를 표시하되 제출은 허용한다.	P0	FE
ver1	정보 인증	입력 규칙	관리비 조건부 입력	"관리비 포함" 선택 시 관리비 금액 입력 필드를 노출하고 "미포함" 선택 시 관리비 금액은 null로 저장한다.	P0	FE
ver1	정보 인증	입력 규칙	관리비 금액 검증	관리비 포함이 true인 경우 관리비 금액은 필수 입력이며 숫자만 허용하고 소수점 입력은 허용하지 않으며 1원 이상이어야 한다. 조건 미충족 시 "관리비 금액을 입력해 주세요" 오류를 표시한다.	P0	FE
ver1	정보 인증	입력 폼 구성	고정비 유형 선택 노출	PayScore 산출에 포함할 고정비 유형(OTT, 음악 스트리밍, 전자책 구독)을 사전 정의된 체크박스 리스트로 노출하고 "월 단위로 정기 납부 중인 고정 지출 (단, 중간에 연체 없이, 실제로 연속 납부한 월 구독 금액을 입력해주세요.)" 안내 문구를 함께 표시한다.	P0	FE
ver1	정보 인증	입력 규칙	고정비 금액 입력 필드 노출	고정비 유형 선택(Check) 시 해당 항목 하단에 '월 구독료(원)' 입력 필드와 '구독 개월 수(개월)' 입력 필드를 노출하며 미선택 항목의 금액 필드는 노출하지 않는다.	P0	FE
ver1	정보 인증	입력 규칙	고정비 다중 행 추가	선택된 고정비 유형 내에서 사용자는 여러 구독 항목을 행 단위로 추가/삭제할 수 있다(+) 버튼). 각 행은 월 구독료/구독 개월 수를 가진다.	P1	FE
ver1	정보 인증	입력 규칙	고정비 금액/개월 입력 검증	선택된 고정비 항목의 각 행은 월 구독료/구독 개월 수가 필수이며 숫자만 허용, 소수점 불가, 1 이상 유효. 미입력 시 "월 구독료를 입력해 주세요", "구독 개월 수를 입력해 주세요" 오류를 표시하고 제출을 차단한다.	P0	FE
